time,kinetic_energy,potential_energy,total_energy
0.0000,0.000002,0.499998,0.500000
0.0170,0.000810,0.499190,0.500000
0.0340,0.003056,0.496944,0.500000
0.0500,0.006471,0.493529,0.500000
0.0670,0.011461,0.488539,0.500000
0.0840,0.017820,0.482180,0.500000
0.1000,0.025021,0.474979,0.500000
0.1170,0.033915,0.466085,0.500000
0.1340,0.044035,0.455965,0.500000
0.1500,0.054620,0.445380,0.500000
0.1670,0.066925,0.433075,0.500000
0.1840,0.080244,0.419756,0.500000
0.2000,0.093627,0.406373,0.500000
0.2170,0.108662,0.391337,0.500000
0.2340,0.124443,0.375556,0.500000
0.2500,0.139887,0.360112,0.500000
0.2670,0.156826,0.343174,0.500000
0.2840,0.174203,0.325796,0.500000
0.3000,0.190862,0.309138,0.500000
0.3170,0.208779,0.291221,0.500000
0.3340,0.226807,0.273192,0.500000
0.3500,0.243778,0.256222,0.500000
0.3670,0.261705,0.238295,0.500000
0.3840,0.279415,0.220585,0.500000
0.4000,0.295789,0.204211,0.500000
0.4170,0.312771,0.187228,0.500000
0.4340,0.329226,0.170774,0.500000
0.4500,0.344142,0.155857,0.500000
0.4670,0.359295,0.140705,0.500000
0.4840,0.373643,0.126357,0.499999
0.5000,0.386338,0.113662,0.499999
0.5170,0.398893,0.101107,0.499999
0.5340,0.410418,0.089582,0.499999
0.5500,0.420267,0.079732,0.499999
0.5670,0.429619,0.070380,0.499999
0.5840,0.437778,0.062221,0.499999
0.6000,0.444331,0.055668,0.499999
0.6170,0.450068,0.049931,0.499999
0.6340,0.454520,0.045479,0.499999
0.6500,0.457523,0.042476,0.499999
0.6670,0.459447,0.040552,0.499999
0.6840,0.460069,0.039931,0.499999
0.7000,0.459474,0.040525,0.499999
0.7170,0.457608,0.042391,0.499999
0.7340,0.454497,0.045502,0.499999
0.7510,0.450177,0.049823,0.499999
0.7670,0.445044,0.054955,0.499999
0.7840,0.438507,0.061493,0.499999
0.8010,0.430908,0.069091,0.499999
0.8170,0.422845,0.077155,0.499999
0.8340,0.413374,0.086626,0.500000
0.8510,0.403046,0.096954,0.500000
0.8670,0.392614,0.107386,0.500000
0.8840,0.380854,0.119145,0.500000
0.9010,0.368484,0.131516,0.500000
0.9170,0.356365,0.143634,0.500000
0.9340,0.343071,0.156928,0.500000
0.9510,0.329440,0.170560,0.500000
0.9670,0.316388,0.183612,0.500000
0.9840,0.302376,0.197624,0.500000
1.0010,0.288309,0.211691,0.500000
1.0170,0.275104,0.224896,0.500000
1.0340,0.261201,0.238799,0.500000
1.0510,0.247517,0.252482,0.500000
1.0670,0.234919,0.265081,0.500000
1.0840,0.221913,0.278087,0.500000
1.1010,0.209377,0.290623,0.500000
1.1170,0.198078,0.301922,0.500000
1.1340,0.186672,0.313328,0.500000
1.1510,0.175949,0.324051,0.500000
1.1670,0.166536,0.333464,0.500000
1.1840,0.157309,0.342691,0.500000
1.2010,0.148927,0.351073,0.500000
1.2170,0.141850,0.358150,0.500000
1.2340,0.135225,0.364775,0.500000
1.2510,0.129551,0.370449,0.500000
1.2670,0.125099,0.374901,0.500000
1.2840,0.121325,0.378675,0.500000
1.3010,0.118545,0.381455,0.500000
1.3170,0.116836,0.383164,0.500000
1.3340,0.115979,0.384021,0.500000
1.3510,0.116095,0.383905,0.500000
1.3670,0.117075,0.382924,0.500000
1.3840,0.119018,0.380982,0.500000
1.4010,0.121856,0.378143,0.500000
1.4170,0.125311,0.374689,0.500000
1.4340,0.129773,0.370227,0.500000
1.4510,0.135000,0.365000,0.500000
1.4670,0.140572,0.359428,0.500000
1.4840,0.147129,0.352871,0.500000
1.5010,0.154282,0.345718,0.500000
1.5170,0.161500,0.338500,0.500000
1.5340,0.169621,0.330379,0.500000
1.5510,0.178138,0.321861,0.500000
1.5670,0.186453,0.313547,0.500000
1.5840,0.195535,0.304465,0.500000
1.6010,0.204799,0.295201,0.500000
1.6170,0.213620,0.286380,0.500000
1.6340,0.223030,0.276970,0.500000
1.6510,0.232409,0.267591,0.500000
1.6670,0.241144,0.258856,0.500000
1.6840,0.250262,0.249738,0.500000
